Nomber,Name,Weight,Volume,Brand,Price,Min
681632360071,"WEATHERSTRIP, DOOR GLASS",0.253,0.69,toyota,448.81,1
6816337020,"WEATHERSTRIP, DOOR GLASS",0.154,0.42,toyota,1021.8,1
681640K010,"WEATHERSTRIP, DOOR GLASS",0.208,0.567,toyota,1265.46,1
681640K020,"MOULDING ASSY, OUTSIDE",0.222,1.01,toyota,1353.49,1
6816428040,"MOULDING ASSY, OUTSIDE",0.209,0.95,toyota,1460.39,1
6816435021,"MOULDING ASSY, OUTSIDE",0.169,0.77,toyota,1241.09,1
6816435041,"MOULDING ASSY, OUTSIDE",0.069,0.315,toyota,757.7,1
6817060030,"WEATHERSTRIP, DOOR GLASS",0.22,0.6,toyota,1445.45,1
6817090302,"WEATHERSTRIP, DOOR GLASS",0.04,0.108,toyota,784.43,1
6817090K01,"WEATHERSTRIP, DOOR GLASS",0.143,0.39,toyota,1119.26,1
681710K010,"WEATHERSTRIP, DOOR GLASS",0.11,0.3,toyota,896.04,1
6817112340,"WEATHERSTRIP, DOOR GLASS",0.165,0.45,toyota,1618.37,1
6817126060,"WEATHERSTRIP, DOOR GLASS",0.282,0.768,toyota,1660.03,1
6817135140,"WEATHERSTRIP, DOOR GLASS",0.077,0.21,toyota,769.49,1
68171WAA01,"WEATHERSTRIP, DOOR GLASS",0.528,1.44,toyota,4434.61,1
6817206150,GASKET RUBBER SEAL,0.396,1.08,toyota,1057.96,1
681720K010,"WEATHERSTRIP, DOOR GLASS",0.193,0.525,toyota,910.19,1
681720K020,"WEATHERSTRIP, DOOR GLASS",0.22,0.6,toyota,1188.43,1
6817212260,"WEATHERSTRIP, DOOR GLASS",0.201,0.549,toyota,1450.17,1
6817214010,GASKET RUBBER SEAL,0.33,0.9,toyota,2555.29,1
6817226060,"WEATHERSTRIP, DOOR GLASS",0.282,0.768,toyota,1660.03,1
6817228060,"WEATHERSTRIP, DOOR GLASS",0.195,0.531,toyota,1491.83,1
6817260070,"MOULDING ASSY, OUTSIDE",0.245,1.115,toyota,2537.99,1
68172WAA01,"WEATHERSTRIP, DOOR GLASS",0.539,1.47,toyota,2916.85,1
6817312310,"WEATHERSTRIP, DOOR GLASS",0.141,0.384,toyota,1190.79,1
6817312370,"WEATHERSTRIP, DOOR GLASS",0.194,0.528,toyota,1043.02,1
6817328030,"WEATHERSTRIP, DOOR GLASS",0.22,0.6,toyota,1519.34,1
6817333100,"WEATHERSTRIP, DOOR GLASS",0.222,0.606,toyota,252.31,1
6817333110,"WEATHERSTRIP, DOOR GLASS",0.254,0.693,toyota,2782.44,1
6817360040,"WEATHERSTRIP, DOOR GLASS",0.144,0.393,toyota,1405.37,1
6817360050,"WEATHERSTRIP, DOOR GLASS",0.242,0.66,toyota,1754.35,1
6817360060,"MOULDING ASSY, PLASTIC",4.884,44.4,toyota,1144.42,1
6817412170,"WEATHERSTRIP, DOOR GLASS",0.143,0.39,toyota,1173.5,1
6817433070,"WEATHERSTRIP, DOOR GLASS",0.198,0.54,toyota,2250.32,1
6817442050,"WEATHERSTRIP, DOOR GLASS",0.191,0.522,toyota,1601.08,1
6817460080,"WEATHERSTRIP, DOOR GLASS",0.187,0.51,toyota,4964.38,1
681800D430,"WEATHERSTRIP, DOOR GLASS",0.121,0.33,toyota,199.64,1
681800K040,"WEATHERSTRIP, DOOR GLASS",0.209,0.57,toyota,1180.57,1
681800K100,"WEATHERSTRIP, DOOR GLASS",0.264,0.72,toyota,1184.5,1
681800K150,"WEATHERSTRIP, DOOR GLASS",0.262,0.714,toyota,1186.07,1
6818052130,"WEATHERSTRIP, DOOR GLASS",0.106,0.288,toyota,773.42,1
68180BZ040,"WEATHERSTRIP, DOOR ",0.22,0.6,toyota,1178.21,1
6818190300,"WEATHERSTRIP, DOOR GLASS",0.25,0.681,toyota,3331.07,1
6818190K00,GASKET RUBBER SEAL,0.218,0.594,toyota,1112.98,1
6818290300,"WEATHERSTRIP, DOOR GLASS",0.251,0.684,toyota,3668.26,1
6818290K00,GASKET RUBBER SEAL,0.212,0.579,toyota,1115.33,1
6818802190,"WEATHERSTRIP, DOOR GLASS",0.211,0.576,toyota,1044.59,1
6818806140,"WEATHERSTRIP, DOOR GLASS",0.246,0.672,toyota,997.43,1
681880D220,"WEATHERSTRIP, DOOR GLASS",0.21,0.573,toyota,1044.59,1
681880K060,"WEATHERSTRIP, DOOR GLASS",0.279,0.762,toyota,816.65,1
681880K070,"WEATHERSTRIP, DOOR GLASS",0.196,0.534,toyota,818.23,1
681880K110,"WEATHERSTRIP, DOOR GLASS",0.389,1.062,toyota,1265.46,1
681880K111,"WEATHERSTRIP, DOOR GLASS",0.396,1.08,toyota,1290.61,1
6818812220,"WEATHERSTRIP, DOOR GLASS",0.171,0.465,toyota,973.07,1
6818812240,"WEATHERSTRIP, DOOR GLASS",0.138,0.375,toyota,803.29,1
