brend_field,oem_field,name_field,weight_field,volume_field
qpc,273003F100,"COIL ASSY, IGNITION",0.278,0.0
ntn / snr,10294910,BEARING,0.349,0.0
ntn / snr,2326570C00,"BEARING, GEARBOX",0.256,0.0
ntn / snr,30207,"BEARING, TAPERED",0.387,0.0
ntn / snr,30208,"BEARING, TAPERED",0.494,0.0
ntn / snr,30210,"BEARING, TAPERED",0.635,0.0
ntn / snr,30211,BEARING,0.773,0.0
ntn / snr,30212,"BEARING, HUB",0.99,0.0
ntn / snr,32207,"BEARING, TAPERED",0.51,0.0
ntn / snr,32213,"BEARING, TAPERED",1.749,0.0
ntn / snr,32214,"BEARING, HUB",1.895,0.0
ntn / snr,6201,BEARING,0.044,0.0
ntn / snr,9036945003,"BEARING, HUB",1.243,0.0
ntn / snr,LM4854810,"BEARING, TAPERED",0.278,0.0
hengst,95510756100,OIL FILTER,0.107,0.0
exedy,22300PPA003,"DISC ASSY, CLUTCH FRICTION",0.0,0.0
exedy,MN171120,"DISC ASSY, CLUTCH FRICTION",6.579,0.0
nhk,1111522050,"GASKET, CYLINDER HEAD METAL",0.129,0.0
nhk,1111528040,"GASKET, CYLINDER HEAD",0.153,0.0
trucktec,0230007,"STOPPER BUSHING, SHOCK ABSORBER",0.035,0.0
trucktec,0259037,RUBBER TUBE,0.407,1.85
pentosin,83290429576,ENGINE OIL ,1.079,0.001
mando,585101R000,"CYLINDER, BRAKE MASTER ",0.67,0.0
autoline,1320A015,"BLADE, RADIATOR FAN",0.876,0.0
autoline,1636117010,"BLADE, RADIATOR FAN",0.684,0.0
asco,DT009,"DISC, FRICTION  A/T",0.912,0.0
abs,200148,RUBBER TUBE,0.283,1.285
sam,3141034012,"CYLINDER, CLUTCH MASTER ",0.42,0.0
aisin,CRT107,"CYLINDER, CLUTCH RELEASE ",0.471,0.0
aisin,CRT121,"END ASSY, STEERING RACK",0.815,0.0
aisin,DT009,"DISC, FRICTION  A/T",0.883,0.0
brembo,34116764540,"PAD KIT, DISC BRAKE",2.215,0.0
bmw,11117511395,"COVER ASSY, PLASTIC",0.091,0.415
bmw,11117587168,SEAL RING,0.05,0.0
bmw,11121437395,GASKET RUBBER SEAL,0.002,0.006
bmw,11137548031,"GASKET, RUBBER",0.205,0.558
bmw,11427510717,OIL FILTER,0.142,0.0
bmw,11427511161,"FILTER ASSY, AIR ELEMENT",0.1,0.0
bmw,11427583220,OIL FILTER,0.131,0.0
bmw,11428575211,OIL FILTER,0.072,0.0
bmw,12120032136,SPARK PLUG,0.121,0.0
bmw,12120037244,SPARK PLUG,0.051,0.0
bmw,12120037580,SPARK PLUG,0.051,0.0
bmw,12122158252,SPARK PLUG,0.054,0.0
bmw,12122158253,SPARK PLUG,0.062,0.0
bmw,13627602038,"SENSOR ASSY, AIR FUEL RATIO",0.044,0.12
bmw,13717521023,"FILTER ASSY, AIR ELEMENT",0.396,0.0
