oem_field,brend_field,name_field,weight_field,volume_field
8K0133837Q,vag,"FILTER ASSY, AIR ELEMENT",1.892,0.0
8K0133837S,vag,"FILTER ASSY, AIR ELEMENT",2.08,0.0
8K0133843,vag,"FILTER ASSY, AIR ELEMENT",0.452,0.0
8K0133843D,vag,"FILTER ASSY, AIR ELEMENT",0.449,0.0
8K0133843L,vag,"FILTER ASSY, AIR ELEMENT",0.33,0.0
8K0133843M,vag,"FILTER ASSY, AIR ELEMENT",0.371,0.0
8K0145117C,vag,SEAL RING,0.059,0.0
8K0145117D,vag,"GASKET, RUBBER",0.067,0.183
8K0145156L,vag,STEERING PUMP,1.965,0.0
8K0145709H,vag,RUBBER TUBE,0.508,2.31
8K0145805P,vag,"COIL ASSY,  COMPRESSOR COOLER",4.235,0.0
8K0199307BF,vag,"BRACKET, REINFORCEMENT",0.649,0.0
8K0199339D,vag,"BUSHING, RUBBER",0.046,0.0
8K0199339N,vag,"BUSHING, RUBBER",0.013,0.0
8K0201180,vag,"PLUG, PLASTIC",0.002,0.006
8K0201190F,vag,"BRACKET, PLASTIC",0.014,0.039
8K0201215L,vag,RUBBER TUBE,0.121,0.0
8K0201449Q,vag,"BUSHING, STABILIZER",0.007,0.0
8K0201511A,vag,"FILTER ASSY, FUEL PUMP",0.279,0.0
8K0201511TA,vag,"FILTER ASSY, FUEL PUMP",0.684,0.0
8K0253115A,vag,"GASKET, RUBBER",0.02,0.054
8K0253115B,vag,"GASKET, RUBBER",0.023,0.063
8K0253115K,vag,"GASKET, RUBBER",0.015,0.042
8K0253115L,vag,"GASKET, RUBBER",0.024,0.066
8K0253144E,vag,"INSULATOR, ENGINE MOUNTING",0.275,0.0
8K0253144M,vag,"BRACKET, EXHAUST PIPE",0.165,0.0
8K0298260B,vag,"GASKET, PLASTIC",0.022,0.06
8K0399151BE,vag,"INSULATOR, GEARBOX",0.669,0.0
8K0399151DB,vag,"INSULATOR, GEARBOX",0.719,0.0
8K0407151F,vag,"CAP, SUSPENSION ARM METAL",1.366,0.0
8K0407182B,vag,"BUSHING, SUSPENSION ARM",0.176,0.0
8K0407182C,vag,"BUSHING, SUSPENSION ARM",0.18,0.0
8K0407183A,vag,"BUSHING, SUSPENSION ARM",0.375,0.0
8K0407183G,vag,"BUSHING, METAL ",0.523,0.0
8K0407413,vag,"BUSHING, RUBBER",0.028,0.0
8K0407509R,vag,SUSPENTION LINK,0.497,0.0
8K0407510R,vag,ARM REST ASSY,0.495,0.0
8K0407515,vag,"BUSHING, SUSPENSION ARM",0.098,0.0
8K0407689G,vag,"JOINT ASSY, SUSPENSION",0.587,0.0
8K0411327A,vag,"BUSHING, RUBBER",0.07,0.0
8K0411327B,vag,"BUSHING, RUBBER",0.066,0.0
8K0411327C,vag,"BUSHING, STABILIZER",0.061,0.0
8K0412131F,vag,"STOPPER BUSHING, SHOCK ABSORBER",0.07,0.0
8K0412137A,vag,"CAP, PROTECTION PLASTIC",0.047,0.0
8K0412377C,vag,"STOPPER BUSHING, SHOCK ABSORBER",0.38,0.0
8K0422943C,vag,"RETAINER, DOOR WINDOW",0.007,0.0
8K0498201C,vag,"DUST BOOT, KIT",0.309,0.0
8K0498203B,vag,"DUST BOOT, KIT AXLE JOINT",0.547,0.0
8K0501329,vag,"CLIP, PLASTIC",0.007,0.018
8K0501529N,vag,SUSPENTION LINK,0.575,0.0
8K0501530N,vag,SUSPENTION LINK,0.585,0.0
8K0505279E,vag,"BUSHING, SUSPENSION ARM",0.205,0.0
8K0511115DK,vag,"SPRING, SUSPENSION",2.321,0.0
8K0511533A,vag,"BRACKET, REINFORCEMENT",0.025,0.0
8K0512297E,vag,GASKET RUBBER SEAL,0.132,0.36
8K0598201B,vag,"DUST BOOT, KIT AXLE JOINT",0.46,0.0
8K0598203,vag,"DUST BOOT, KIT AXLE JOINT",0.541,0.0
8K0599257N,vag,"BUSHING, SUSPENSION ARM",0.264,0.0
8K0599257P,vag,"BUSHING, SUSPENSION ARM",0.319,0.0
8K0599381H,vag,"BUSHING, SUSPENSION ARM",0.407,0.0
8K0599381J,vag,"BUSHING, SUSPENSION ARM",0.631,0.0
8K0611743C,vag,"HOSE ASSY, WINDSHIELD WASHER",0.094,0.425
8K0611797F,vag,"BRACKET, PLASTIC",0.008,0.021
8K0615269A,vag,"SPRING SET, DISC BRAKE",0.03,0.0
8K0615311H,vag,"COVER ASSY, DISC BRAKE",0.195,0.0
8K0615312H,vag,"COVER ASSY, DISC BRAKE",0.197,0.0
8K0698151H,vag,"PAD KIT, DISC BRAKE",3.145,0.0
8K0698151L,vag,"PAD KIT, DISC BRAKE",3.062,0.0
8K0698451A,vag,"PAD KIT, DISC BRAKE",1.608,0.0
8K0698451F,vag,"PAD KIT, DISC BRAKE",1.516,0.0
8K0698451L,vag,"PAD KIT, DISC BRAKE",1.516,0.0
8K0698470C,vag,"DUST BOOT, GEAR SHIFT",0.122,0.333
8K0698471,vag,"DUST BOOT, GEAR SHIFT",0.018,0.048
8K0798151,vag,"BRACKET, REINFORCEMENT",0.142,0.0
8K0803593,vag,GASKET RUBBER SEAL,0.04,0.108
8K0803594,vag,"COVER ASSY, PLASTIC",0.039,0.175
8K0803899,vag,"COVER ASSY, PLASTIC",0.091,0.415
8K0805123,vag,"PLATE, ENGINE END",1.144,0.0
8K0805163A,vag,"CLIP, METAL",0.011,0.03
8K0805201,vag,"BRACKET, MOUNTING RADIATOR",0.055,5.0
8K0805201A,vag,"BRACKET, PLASTIC",0.059,0.162
8K0805399A,vag,SCREW ,0.01,0.0
8K0805399B,vag,"BOLT, METAL",0.012,0.0
8K0805527A,vag,"SUPPORT ASSY, INSULATOR",0.301,0.0
8K0805528A,vag,"BRACKET, MOUNTING RADIATOR",0.301,5.0
8K0805607B,vag,"BRACKET, PLASTIC",0.562,1.533
8K0805608B,vag,"BRACKET, RETAINER HEADLAMP",0.583,0.0
8K0805615A,vag,HOOK ASSY,0.547,0.0
8K0805922A,vag,"NUT, METAL",0.008,0.0
8K0807065FGRU,vag,BUMBER COVER ASSY ,6.6,25.0
8K0807081,vag,"COVER ASSY, PLASTIC",0.66,3.0
8K0807081D9B9,vag,"COVER ASSY, ENGINE SPLASH SHIELD",0.539,15.0
8K0807277,vag,"BUSHING, METAL ",0.023,0.0
8K0807283,vag,"BRACKET, PLASTIC",0.041,0.111
8K0807283D,vag,"SUPPORT ASSY, INSULATOR",0.047,0.0
8K0807283H,vag,"PLUG, PLASTIC",0.022,0.06
8K0807284,vag,"BRACKET, PLASTIC",0.039,0.105
8K0807284H,vag,"COVER ASSY, PLASTIC",0.022,0.1
8K0807333B,vag,"BRACKET, PLASTIC",0.021,0.057
8K0807381,vag,"BUSHING, METAL ",0.143,0.0
8K0807550E,vag,"ABSORBER ASSY, BUMPER ENERGY",0.11,1.5
8K0807647A,vag,"PLUG, PLASTIC",0.308,0.84
8K0807681J01C,vag,"MOULDING ASSY, BUMPER COVER",0.327,7.0
8K0807682H01C,vag,"MOULDING ASSY, OUTSIDE",0.337,1.53
8K0807833B01C,vag,"RETAINER, BOARD DOOR PANEL TRIM",2.2,0.0
8K0807899,vag,"BRACKET, PLASTIC",0.094,0.255
8K0809999A,vag,"CAP, FUEL TANK",0.316,0.0
8K0817995,vag,"REINFORCEMENT ASSY, ROOF PANEL",1.65,8.0
8K0819161C,vag,"REGISTER ASSY, INSTRUMENT PANEL",0.267,0.0
8K0819376F,vag,"HOSE ASSY, WINDSHIELD WASHER",0.091,0.415
8K0819439,vag,"FILTER ASSY, AIR ELEMENT",0.268,0.0
8K0819439B,vag,"FILTER ASSY, CABIN AIR",0.404,0.0
8K0819664,vag,"PLUG, PLASTIC",0.011,0.03
8K0820261,vag,GASKET RUBBER SEAL,0.009,0.024
8K0820536D,vag,"CLIP, PLASTIC",0.006,0.015
8K0821135H,vag,"BRACKET, REINFORCEMENT",0.309,0.0
8K0823126J,vag,"MOULDING ASSY, OUTSIDE",0.07,0.32
8K0825201E,vag,"COVER ASSY, PLASTIC",0.233,1.06
8K0825202A,vag,"MOULDING ASSY, OUTSIDE",0.218,0.99
8K0825207C,vag,"HEADLINING ASSY, INTERIOR",2.2,20.0
8K0825210,vag,"HEADLINING ASSY, INTERIOR",0.081,20.0
8K0831401D,vag,"HINGE ASSY, FRONT DOOR",0.347,0.0
8K0831402D,vag,"HINGE ASSY, FRONT DOOR",0.351,0.0
8K0837085A,vag,CABLE ASSY,0.046,0.0
8K0837111B41,vag,"CAP, PROTECTION PLASTIC",0.001,0.0
8K0839015,vag,LOCK ASSY,0.759,0.0
8K0839059,vag,"JOINT ASSY, KNUCKLE STEERING",0.008,0.0
8K0839060,vag,"RETAINER, SHAFT",0.008,0.0
8K0845454,vag,"WEATHERSTRIP, DOOR GLASS",0.062,0.168
8K0845867,vag,"BUSHING, PLASTIC",0.006,0.0
8K0853824A,vag,"MOULDING ASSY, PLASTIC",0.031,0.14
8K0853887A,vag,"BRACKET, MUDGUARD ",0.165,0.0
8K0853888A,vag,MUD GUARD,0.168,0.0
8K085432701C,vag,"WEATHERSTRIP, DOOR GLASS",0.165,0.45
8K085432801C,vag,"WEATHERSTRIP, DOOR GLASS",0.165,0.45
8K0857536F,vag,OUTER MIRROR GLASS,0.179,0.0
8K0857607B4PK,vag,"HANDLE, PLASTIC",0.141,0.0
8K0860379B6PS,vag,"MOULDING ASSY, PLASTIC",0.077,0.7
8K0863788,vag,"CLIP, PLASTIC",0.009,0.024
8K0868307,vag,"CLIP, PLASTIC",0.01,0.027
8K0881345A01C,vag,"PLUG, PLASTIC",0.009,0.024
8K0881361K,vag,"SEAT PANEL, CUSHION",1.324,0.0
8K08816714PK,vag,"COVER ASSY, PLASTIC",0.045,0.205
8K0885879BK38,vag,"CAP, METAL",0.041,0.0
8K0885879BM90,vag,"CAP, METAL",0.041,0.0
8K0885879BP70,vag,"CAP, METAL",0.041,0.0
8K0885879BY22,vag,"CAP, METAL",0.041,0.0
8K0885879BZ62,vag,"CAP, METAL",0.041,0.0
8K0885879BZ95,vag,"CAP, METAL",0.041,0.0
8K0885879BZ99,vag,"CAP, METAL",0.041,0.0
8K0885879J50,vag,"CAP, METAL",0.041,0.0
8K0885880BK38,vag,"CAP, METAL",0.041,0.0
8K0885880BM90,vag,"CAP, METAL",0.041,0.0
8K0885880BP70,vag,"CAP, METAL",0.041,0.0
8K0885880BS96,vag,"CAP, METAL",0.041,0.0
8K0885880BY22,vag,"CAP, METAL",0.041,0.0
8K0885880BZ95,vag,"CAP, METAL",0.041,0.0
8K0885880BZ99,vag,"CAP, METAL",0.041,0.0
8K0885880J50,vag,"CAP, METAL",0.04,0.0
8K0885880K38,vag,"CAP, METAL",0.04,0.0
8K0886197,vag,"CAP, METAL",0.009,0.0
8K0898037A,vag,"RADIATOR ASSY, HEATER",2.229,6.078
8K0898037C,vag,"CLAMP, PLASTIC",0.011,0.0
8K0906093F,vag,"SENSOR ASSY, FUEL ",0.231,0.63
8K0906262,vag,"SENSOR ASSY, OXYGEN",0.146,0.0
8K0907063DL,vag,"CONTROL UNIT, HEADLIGHT",0.455,0.0
8K0907299,vag,"PLUG, PLASTIC",0.014,0.039
8K0907574C,vag,"BRACKET, REINFORCEMENT",0.24,0.0
8K0919051G,vag,FUEL PUMP ASSY,1.94,0.0
8K09193434PK,vag,"LIGHTER ASSY, CIGARETTE",0.021,0.0
8K0919673,vag,"SENSOR ASSY, FUEL ",0.037,0.102
8K0937517A,vag,RELAY,0.221,0.0
8K0941109,vag,"BUSHING, RUBBER",0.017,0.0
8K0941285P,vag,"SENSOR ASSY, ABS",0.187,0.51
8K0941597B,vag,"CONTROL UNIT, HEADLIGHT",0.212,0.0
8K0941699E,vag,FOGLAMP ASSY,0.514,0.0
8K0949101D,vag,"LAMP ASSY, TURN SIGNAL",0.088,0.0
8K0959754BTKE,vag,"CONTROL UNIT, ANTI-THEFT ALARM",0.044,0.0
8K0963031,vag,"MOTOR ASSY, BLOWER",0.584,1.593
8K0963512,vag,"PLUG, PLASTIC",0.007,0.018
8K0971921B,vag,"PLUG, PLASTIC",0.007,0.018
8K0972701,vag,CONNECTOR,0.022,0.0
8K0972702,vag,"PLUG, PLASTIC",0.097,0.264
8K0973702,vag,"PLUG, PLASTIC",0.013,0.036
8K0973702G,vag,CONNECTOR,0.008,0.0
8K0973703,vag,"PLUG, PLASTIC",0.008,0.021
8K0973703F,vag,"PLUG, PLASTIC",0.01,0.027
8K0973704,vag,CONNECTOR,0.011,0.0
8K0973705,vag,"SWITCH ASSY, IGNITION",0.01,0.0
8K0973705A,vag,WIRE,0.01,0.0
8K0973724,vag,"SWITCH ASSY, IGNITION",0.012,0.0
8K0973754,vag,CONNECTOR,0.006,0.0
8K0973754A,vag,CONNECTOR,0.006,0.0
8K1419753H,vag,"FLANGE ASSY, STEERING SHAFT",2.312,0.0
8K1721316B,vag,PEDAL ASSY,0.297,0.0
8K1723523A,vag,PEDAL ASSY,0.526,0.0
8K1819371AM,vag,RUBBER TUBE,0.08,0.365
8K1819373AF,vag,RUBBER TUBE,0.164,0.745
8K1819424,vag,"COVER ASSY, PLASTIC",0.046,0.21
8K1863691HQA5,vag,"RUG, FLOOR",1.221,5.0
8K1927521V10,vag,"SWITCH ASSY, POWER SEAT",0.059,0.0
8K1941122,vag,"BRACKET, PLASTIC",0.054,0.147
8K1955407A1P9,vag,"LINK ASSY, WINDSHIELD WIPER",0.381,0.0
8K1998002A,vag,GASKET RUBBER SEAL,0.352,0.96
8K5807067AGRU,vag,BUMBER COVER ASSY ,9.702,25.0
8K5807441BGRU,vag,"COVER ASSY, PLASTIC",0.011,0.05
8K5807889A,vag,"BRACKET, PLASTIC",0.036,0.099
8K5839911Q,vag,"WEATHERSTRIP, DOOR GLASS",0.386,1.053
8K5839912Q,vag,"WEATHERSTRIP, DOOR GLASS",0.385,1.05
8K5945095AC,vag,"LAMP ASSY, REAR",1.293,5.0
8K5945097,vag,"REFLECTOR ASSY, HEADLIGHT",0.293,0.0
8K9827279A01C,vag,"COVER ASSY, CYLINDER HEAD",0.024,0.0
8K9827280A01C,vag,"COVER ASSY, CYLINDER HEAD",0.024,0.0
8K9853294,vag,"PLUG, PLASTIC",0.039,0.105
8K9853888,vag,SPOILER ASSY,0.165,9.0
8K9945105,vag,"REFLECTOR ASSY, LAMP",0.046,0.0
8K9955205,vag,"PLUG, PLASTIC",0.017,0.045
8L0133837B,vag,"FILTER ASSY, AIR ELEMENT",1.363,0.0
8L0821171C,vag,"COVER ASSY, FENDER SPLASH SHIELD",0.697,10.0
8L0863278BNRMD,vag,"KNOB ASSY, SHIFT LEVER",0.165,0.0
8L0887233,vag,"PLUG, PLASTIC",0.014,0.039
8L0941454,vag,"BRACKET, REINFORCEMENT",0.01,0.0
8L0955988A,vag,"NOZZLE ASSY, WINDSHIELD WASHER",0.033,0.0
8L0971972,vag,"CABLE ASSY, SPIRAL",0.022,0.0
8L0972980,vag,"CLIP, PLASTIC",0.009,0.024
8L0998131,vag,FUSE,0.04,0.0
8L3837947,vag,"COVER ASSY, STEP PLATE",0.44,15.0
8L4831720,vag,"SLEEVE COLLAR, GEARBOX HUB",0.143,0.39
8L4867276,vag,"CLIP, METAL",0.003,0.009
8L9103951,vag,"PLUG, PLASTIC",0.008,0.021
8L9133837A,vag,"FILTER ASSY, AIR ELEMENT",1.43,0.0
8L9133837E,vag,"FILTER ASSY, AIR ELEMENT",1.447,0.0
8N0103638A,vag,"BUSHING, RUBBER",0.004,0.0
8N0117331,vag,"GUIDE RAIL, SUNROOF",0.325,0.0
8N0199851,vag,"INSULATOR, ENGINE MOUNTING",1.342,0.0
8N0201375A,vag,FUEL TANK CAP,0.142,0.0
8N0407297,vag,"SLEEVE, RING METAL",0.008,0.021
8N0407451AX,vag,DRIVE SHAFT ASSY,6.215,0.0
8N0698471,vag,"GASKET, PLASTIC",0.026,0.072
8N0711115A,vag,"DUST BOOT, KIT AXLE JOINT",0.1,0.0
8N0803855,vag,"BRACKET, PLASTIC",0.052,0.0
8N0804583,vag,"BUSHING, RUBBER",0.057,0.0
8N0821106,vag,"PANEL ASSY, BODY",2.046,7.44
8N0827771,vag,"STICKER, LABEL",0.067,0.0
8N0831617,vag,"MOULDING ASSY, RUBBER",0.044,0.0
8N0881253A01C,vag,"LEVER ASSY, STARTER PINION DRIVE",0.048,0.0
8N0945095,vag,"LAMP ASSY, REAR",1.311,5.0
8N0953053,vag,"SOCKET PLUG, LAMP ASSY",0.018,0.0
8N0955453A,vag,"RESERVOIR ASSY, WINDSHIELD",0.612,5.56
8N1721465D,vag,"BUSHING, STEARING RACK",0.359,0.0
8N1955425E,vag,WIPER BLADE ASSY,0.132,0.6
8N1955603A,vag,"LINK ASSY, WINDSHIELD WIPER",1.093,0.0
8N2955408D,vag,"LINK ASSY, WINDSHIELD WIPER",0.44,0.0
8P0012109E,vag,"GASKET, PLASTIC",0.339,0.924
8P0802845,vag,"COVER ASSY, PLASTIC",0.069,0.315
8P0802847,vag,"BUSHING, PLASTIC",0.045,0.0
8P0803583,vag,"PLUG, BREATHER DIFFERENTIAL",0.001,0.0
8P0805607A,vag,"BRACKET, REINFORCEMENT",0.553,0.0
8P0806239C,vag,"BRACKET, PLASTIC",0.22,0.0
8P0807105FGRU,vag,"COVER ASSY, CYLINDER HEAD",0.003,0.0
8P0807183A,vag,"BRACKET, PLASTIC",0.031,0.084
8P0807183B,vag,"BRACKET, REINFORCEMENT",0.031,0.0
8P0807184A,vag,"BRACKET, REINFORCEMENT",0.022,0.0
8P0807184B,vag,"BRACKET, REINFORCEMENT",0.041,0.0
8P0807681TT94,vag,"GRILLE ASSY, RADIATOR",0.512,10.0
8P0819142,vag,"SEAL KIT, CRANKSHAFT",0.11,0.3
8P0821171G,vag,"COVER ASSY , TRANSMITTER",0.814,0.0
8P0823433A,vag,"PLUG, PLASTIC",0.01,0.027
8P0837111B,vag,"PLUG, PLASTIC",0.002,0.006
8P08537412ZZ,vag,"EMBLEM NAME PLATE, PLASTIC",0.042,0.114
8P0854327B01C,vag,"MOULDING ASSY, WINDSHIELD",0.109,15.0
8P0863149B,vag,HOOK ASSY,0.721,0.0
8P0863150B,vag,"BRACKET, PLASTIC",0.191,0.522
8P0863825L,vag,INSULATOR ASSY,0.55,2.5
8P0867276A,vag,"CLIP, METAL",0.004,0.012
8P0868243,vag,"CLIP, PLASTIC",0.003,0.009
8P0880201BL3ZQ,vag,AIR BAG,2.244,0.0
8P0880201BM26Z,vag,AIR BAG,2.269,0.0
8P0880201BQ3ZQ,vag,AIR BAG,2.244,0.0
8P0880201BQ42R,vag,AIR BAG,2.244,0.0
8P0880201BR3ZQ,vag,AIR BAG,2.269,0.0
8P0880201BR42R,vag,AIR BAG,2.269,0.0
8P0945300,vag,"BUSHING, PLASTIC",0.012,0.0
8P0955339,vag,"CLIP, METAL",0.011,0.03
8P0998121A,vag,"BRACKET, PLASTIC",0.11,0.3
8P1819415E01C,vag,"COVER ASSY, CYLINDER HEAD",1.254,0.0
8P3807330,vag,"COVER ASSY, PLASTIC",0.041,0.185
8P3827310,vag,"CLIP, METAL",0.001,0.003
8P3837477C,vag,"MOULDING ASSY, WINDOW TRIM",0.242,0.0
8P3837478C,vag,"MOULDING ASSY, WINDOW TRIM",0.242,0.0
8P3853825A,vag,"CLIP, METAL",0.002,0.006
8P3853825B,vag,"CLIP, METAL",0.001,0.003
8P3853826B,vag,"CLIP, METAL",0.003,0.009
8P3853960JGRU,vag,"MOULDING ASSY, METAL",0.649,0.0
8P3867729,vag,"PLUG, PLASTIC",0.009,0.024
8P3898083,vag,"SUPPORT ASSY, INSULATOR",0.021,0.0
8P4807378B,vag,"BRACKET, REINFORCEMENT",0.273,0.0
8P4807441GRU,vag,"PLUG, PLASTIC",0.075,0.204
8P4827249D,vag,"PLUG, PLASTIC",0.025,0.069
8P4827520B,vag,"CAP, METAL",0.035,0.0
8P4827951A,vag,"PLUG, PLASTIC",0.001,0.003
8P4837349,vag,"CAP, METAL",0.045,0.0
8P4839477A,vag,"MOULDING ASSY, WINDOW TRIM",0.11,0.0
8P4853573C,vag,"CLIP, METAL",0.003,0.009
8P4945097A,vag,"LAMP ASSY, REAR",0.217,0.0
8P4955758A,vag,"BUSHING, RUBBER",0.01,0.0
8P7806305,vag,"ROD ASSY, CORRECTOR HEADLAMP",0.022,0.0
8P7845433B,vag,GASKET RUBBER SEAL,2.805,7.65
8R0075111B,vag,"MUD GUARD, SET",0.759,0.0
8R0098623,vag,GASKET KIT,0.781,0.0
8R0098629,vag,SCREW ,0.089,0.0
8R0121036B,vag,RUBBER TUBE,0.155,0.705
8R0121049M,vag,RUBBER TUBE,0.333,1.515
8R0121055,vag,RUBBER TUBE,0.383,1.74
8R0121081AD,vag,"TUBE ASSY, PLASTIC",0.025,0.069
8R0121081AQ,vag,"DUCT ASSY, AIR INLET PLASTIC",0.02,0.0
8R0121283N,vag,"COVER ASSY, PLASTIC",0.143,0.65
8R0121284L,vag,"COVER ASSY, PLASTIC",0.234,1.065
8R0121284Q,vag,"DUCT ASSY, AIR INLET PLASTIC",0.143,0.0
8R0121284R,vag,"COVER ASSY, PLASTIC",0.143,0.65
8R0121292B,vag,"COVER ASSY, PLASTIC",0.143,0.65
8R0121585,vag,"CAP, METAL",0.001,0.0
8R0129054,vag,"REGISTER ASSY, INSTRUMENT PANEL",0.041,0.0
8R0129617B,vag,"REGISTER ASSY, INSTRUMENT PANEL",0.442,0.0
8R0129617D,vag,"DUCT ASSY, AIR INLET PLASTIC",0.399,0.0
8R0133426,vag,"PLUG, PLASTIC",0.05,0.135
8R0133837AA,vag,"FILTER ASSY, AIR ELEMENT",1.804,0.0
8R0133837AB,vag,"FILTER ASSY, AIR ELEMENT",1.873,0.0
8R0133837AC,vag,"FILTER ASSY, AIR ELEMENT",2.055,0.0
8R0133837AD,vag,"FILTER ASSY, AIR ELEMENT",1.942,0.0
8R0133837AE,vag,"FILTER ASSY, AIR ELEMENT",1.837,0.0
8R0133837AF,vag,"FILTER ASSY, AIR ELEMENT",1.936,0.0
8R0133837S,vag,"FILTER ASSY, AIR ELEMENT",2.022,0.0
8R0133843D,vag,"FILTER ASSY, AIR ELEMENT",0.191,0.0
8R0133843K,vag,"FILTER ASSY, AIR ELEMENT",0.33,0.0
8R0201232D,vag,"FILTER ASSY, AIR ELEMENT",0.113,0.0
8R0201232E,vag,"FILTER ASSY, AIR ELEMENT",0.112,0.0
8R0201263A,vag,"COVER ASSY, PLASTIC",0.009,0.04
8R0201449B,vag,"CLIP, METAL",0.034,0.093
8R0201544CG,vag,"FILTER ASSY, FUEL PUMP",1.245,0.0
8R0201686B,vag,"RETAINER, SHAFT",0.004,0.0
8R0253144B,vag,"BRACKET, EXHAUST PIPE",0.154,0.0
8R0253144C,vag,"BUSHING, RUBBER",0.156,0.0
8R0407271G,vag,DRIVE SHAFT ASSY,8.25,0.0
8R0407515,vag,"BUSHING, SUSPENSION ARM",0.087,0.0
8R0412131D,vag,"STOPPER BUSHING, SHOCK ABSORBER",0.092,0.0
8R0498099,vag,"JOINT ASSY, DRIVE SHAFT",2.489,0.0
8R0498203,vag,"DUST BOOT, KIT",0.55,0.0
8R0505145A,vag,"BUSHING, SUSPENSION ARM",0.747,0.0
8R0601295,vag,"NUT, METAL",0.135,0.0
8R0611707A,vag,"HOSE ASSY, WINDSHIELD WASHER",0.154,0.7
8R0615108H,vag,BRAKE CALIPER,4.51,0.0
8R0615121,vag,"SENSOR ASSY, BRAKE PAD WEAR",1.015,2.769
8R0615269,vag,"SPRING SET, DISC BRAKE",0.042,0.0
8R0698151AA,vag,"PAD KIT, DISC BRAKE",2.596,0.0
8R0698151AB,vag,"PAD KIT, DISC BRAKE",2.71,0.0
8R0698151AD,vag,"PAD KIT, DISC BRAKE",2.31,0.0
8R0698151AH,vag,"PAD KIT, DISC BRAKE",2.2,0.0
8R0698151T,vag,"PAD KIT, DISC BRAKE",2.596,0.0
8R0698618,vag,"BUSHING, METAL ",0.083,0.0
8R0803910,vag,"COVER ASSY, PLASTIC",0.024,0.11
8R0805527A,vag,"BRACKET, REINFORCEMENT",0.305,0.0
8R0805528A,vag,"BRACKET, REINFORCEMENT",0.29,0.0
8R0805594D,vag,"SUPPORT ASSY, RADIATOR",4.444,30.0
8R0805607B,vag,"BRACKET, RETAINER HEADLAMP",0.77,0.0
8R0805608B,vag,"BRACKET, RETAINER HEADLAMP",0.77,0.0
8R0807061FGRU,vag,SPOILER ASSY,2.266,9.0
8R0807065CGRU,vag,BUMBER COVER ASSY ,7.557,25.0
8R0807081A,vag,"COVER ASSY, PLASTIC",0.275,1.25
8R0807107CGRU,vag,"COVER ASSY, CYLINDER HEAD",1.26,0.0
8R0807217B,vag,"PANEL ASSY, INTERIOR",0.286,5.0
8R0807245,vag,"COVER ASSY, PLASTIC",0.178,0.81
8R0807246,vag,"BRACKET, PLASTIC",0.165,0.45
8R0807277C,vag,"BUMPER, SUPPORT MOUNT  ",0.122,5.0
8R0807278C,vag,"BRACKET, PLASTIC",0.066,0.18
8R0807283C,vag,"BRACKET, PLASTIC",0.112,0.306
8R0807284C,vag,"GUIDE RAIL, BODY PANNEL",0.117,0.0
8R0807313C,vag,"ABSORBER ASSY, BUMPER ENERGY",2.563,1.5
8R0807333,vag,"SUPPORT ASSY, INSULATOR",0.075,0.0
8R0807333A,vag,"BRACKET, PLASTIC",0.073,0.198
8R0807434J1RR,vag,SPOILER ASSY,2.2,9.0
8R0807450AGRU,vag,"COVER ASSY, PLASTIC",0.018,0.08
8R0807450GRU,vag,"PLUG, PLASTIC",0.019,0.051
8R0807453B,vag,"BRACKET, REINFORCEMENT",0.403,0.0
8R0807454B,vag,"MOULDING ASSY, OUTSIDE",0.399,1.815
8R0807550C,vag,"ABSORBER ASSY, BUMPER ENERGY",0.11,1.5
8R0807550E,vag,"ABSORBER ASSY, BUMPER ENERGY",0.176,1.5
8R0807647B01C,vag,"GRILLE ASSY, RADIATOR",0.349,10.0
8R0807647C,vag,"GRILLE ASSY, RADIATOR",0.308,10.0
8R0807681A01C,vag,"BRACKET, FOG LAMP",0.459,0.0
8R0807682A01C,vag,"GRILLE ASSY, RADIATOR",0.429,10.0
8R0807682D01C,vag,"MOULDING ASSY, OUTSIDE",0.435,1.975
8R0807682E01C,vag,"GRILLE ASSY, RADIATOR",0.65,10.0
8R0807682JBJI,vag,"MOULDING ASSY, BUMPER COVER",0.737,7.0
8R0807682NBJI,vag,"GRILLE ASSY, RADIATOR",0.553,10.0
8R0807682TBJI,vag,"MOULDING ASSY, BUMPER COVER",0.627,7.0
8R0807823E,vag,"MOULDING ASSY, BUMPER COVER",0.44,7.0
8R0807833H1RR,vag,SPOILER ASSY,2.2,9.0
8R0809999B,vag,"PLUG, PLASTIC",0.367,1.002
8R0819334AC,vag,RUBBER TUBE,0.172,0.78
8R0819371E,vag,RUBBER TUBE,0.197,0.895
8R0821105A,vag,"FENDER COVER, MOLDING",3.022,45.0
8R0821106A,vag,"SUPPORT ASSY, FENDER PANEL",3.267,0.0
8R0821135,vag,"BRACKET, REINFORCEMENT",0.376,0.0
8R0821171G,vag,"COVER ASSY, FLYWHEEL HOUSING",0.88,0.0
8R0821171H,vag,"BRACKET, FENDER SPLASH SHIELD",1.155,0.0
8R0821171K,vag,"BRACKET, FENDER SPLASH SHIELD",1.21,0.0
8R0821171M,vag,"BRACKET, FENDER SPLASH SHIELD",1.43,0.0
8R0821172F,vag,RUBBER TUBE,1.573,7.15
8R0821172H,vag,"FENDER COVER, MOLDING",1.298,45.0
8R0821172K,vag,"BRACKET, FENDER SPLASH SHIELD",1.298,0.0
8R0821172M,vag,"BRACKET, FENDER SPLASH SHIELD",1.43,0.0
