oem_field,brend_field,name_field,weight_field,volume_field
0K2A318160A,hyundai / kia,SPARK PLUG TIP,0.077,0.0
0K2A328700D,hyundai / kia,SHOCK ABSORBER,2.156,0.0
0K2A328900D,hyundai / kia,SHOCK ABSORBER,1.971,0.0
0K2A373511,hyundai / kia,"GLASS ASSY, DOOR",1.388,12.0
0K2A513Z40A,hyundai / kia,"FILTER ASSY, AIR ELEMENT",0.266,0.0
0K2A515280A,hyundai / kia,RUBBER TUBE,0.512,2.325
0K2A515940,hyundai / kia,RUBBER TUBE,0.165,0.75
0K2AA13460,hyundai / kia,"GASKET, RUBBER",0.057,0.156
0K2AH326F0C,hyundai / kia,RUBBER TUBE,0.066,0.3
0K2B162625,hyundai / kia,GASKET RUBBER SEAL,0.02,0.054
0K2BA51215,hyundai / kia,HEADLAMP ASSY,0.01,15.0
0K2BB67510,hyundai / kia,"NOZZLE ASSY, WINDSHIELD WASHER",0.009,0.0
0K2BW18160,hyundai / kia,WIRES FOR SPARK PLUGS,0.092,0.0
0K2C015240,hyundai / kia,THERMOSTAT ASSY,0.114,0.0
0K2C022610,hyundai / kia,JOINT ASSY,4.07,0.0
0K2C034460,hyundai / kia,"BUSHING, SUSPENSION ARM",0.27,0.0
0K2C051070A,hyundai / kia,MUD GUARD,0.297,0.0
0K2C051851,hyundai / kia,MUD GUARD,0.143,0.0
0K2C051881,hyundai / kia,MUD GUARD,0.143,0.0
0K2C067330,hyundai / kia,GASKET RUBBER SEAL,0.11,0.3
0K2C06734YC,hyundai / kia,"MOTOR ASSY, WINDSHIELD WIPER",1.799,0.0
0K2C134700E,hyundai / kia,SHOCK ABSORBER,3.592,0.0
0K2C156131,hyundai / kia,GASKET RUBBER SEAL,0.99,2.7
0K2C158410AXX,hyundai / kia,"HANDLE, PLASTIC",0.174,0.0
0K2C163990D,hyundai / kia,"GLASS ASSY, REAR ",0.001,40.0
0K2C166154,hyundai / kia,"SWITCH ASSY, IGNITION",0.084,0.0
0K2C258410AXX,hyundai / kia,"HANDLE, PLASTIC",0.172,0.0
0K2CA50710,hyundai / kia,"GRILLE ASSY, RADIATOR",0.748,10.0
0K2DJ1335Z,hyundai / kia,FUEL PUMP ASSY,1.177,0.0
0K2DJ51981,hyundai / kia,"LAMP ASSY, TURN SIGNAL",0.006,0.0
0K2FA15185,hyundai / kia,RUBBER TUBE,0.314,1.425
0K2FA1535XA,hyundai / kia,RUBBER TUBE,0.44,2.0
0K2FA15380A,hyundai / kia,RUBBER TUBE,0.095,0.43
